Iteration	parent	child	p-val
466	19140.0	18963.0	3.11642726845e-188
467	19139.0	18962.0	6.5069743909e-06
468	19142.0	18961.0	1.6367522014e-20
469	19091.0	18960.0	9.72263627726e-11
470	19159.0	18959.0	1.43802288764e-66
471	19121.0	18958.0	1.69852182413e-27
472	19285.0	18957.0	1.52279506276e-194
473	19082.0	18956.0	9.23942381346e-26
474	19297.0	18955.0	1.52594870582e-173
475	19077.0	18954.0	2.91745023796e-13
476	19157.0	18953.0	8.64026570381e-108
477	19007.0	18952.0	9.2784337369e-29
478	19168.0	18951.0	3.49142823047e-100
479	19193.0	18950.0	2.50089949536e-09
480	19009.0	18949.0	1.08306022365e-54
481	19107.0	18948.0	3.91007107883e-14
482	19216.0	18947.0	1.95625218901e-06
483	19208.0	18946.0	1.21936735678e-75
484	19038.0	18945.0	9.93332974998e-17
485	19015.0	18944.0	4.54678977181e-26
486	19022.0	18943.0	9.23942381346e-26
487	19132.0	18942.0	1.2295498387e-08
488	19225.0	18941.0	6.88310090755e-19
489	19217.0	18940.0	1.05189361343e-35
490	19246.0	18939.0	1.83927680606e-158
491	18976.0	18938.0	0.145646676731
492	19215.0	18937.0	1.78649690294e-108
493	19125.0	18936.0	1.50387043614e-37
494	19159.0	18935.0	8.00866029266e-27
495	19053.0	18934.0	8.73858600207e-13
496	19128.0	18933.0	3.87315839084e-06
497	19154.0	18932.0	4.9816520374e-40
498	19074.0	18931.0	3.17025079028e-13
499	19193.0	18930.0	1.97312477404e-167
500	19075.0	18929.0	9.86608715094e-50
501	19207.0	18928.0	2.67632820526e-68
502	19109.0	18927.0	0.000247705699327
503	19200.0	18926.0	1.53496713079e-26
504	19084.0	18925.0	1.2928133827e-31
505	19057.0	18924.0	1.43169240155e-75
506	19078.0	18923.0	1.19549856709e-80
507	19062.0	18922.0	3.13213250288e-39
508	19167.0	18921.0	2.2165549026e-19
509	19171.0	18920.0	8.85042868799e-126
510	19332.0	18919.0	0.0
511	19113.0	18918.0	6.29086015633e-27
512	19114.0	18917.0	1.42800748163e-32
513	19179.0	18916.0	4.4478455917e-102
514	19070.0	18915.0	1.20234816077e-20
515	19102.0	18914.0	9.11687514267e-20
516	19090.0	18913.0	8.38162662957e-79
517	19046.0	18912.0	3.29958672896e-07
518	19133.0	18911.0	1.76683652136e-26
