time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2013-04-25,255.842819214,299.089630127,13.9,34.2149047852,4.8,0.0008,0.0
2013-04-26,239.495132446,271.330108643,8.9,20.2988471985,4.5,0.0,0.0
2013-04-27,249.095481873,289.154022217,9.45,38.6190719604,3.3,0.0,0.0
2013-04-28,277.013137817,280.560882568,11.95,33.8162231445,4.4,0.0,0.0
2013-04-29,239.228637695,303.135406494,14.45,47.9014701843,4.3,0.0,0.0
2013-04-30,279.436733246,298.212280273,12.2,41.0957489014,3.3,0.0,0.0
2013-05-01,288.387084961,275.509490967,11.4,26.1730365753,2.8,0.0,0.0
2013-05-02,252.729434967,303.105102539,14.7,32.2624778748,4.0,0.0,0.0
2013-05-03,278.789730072,282.719360352,9.2,34.3508872986,4.5,0.0,0.0
2013-05-04,288.075538635,273.628967285,8.9,25.5580997467,4.1,0.0,0.0
2013-05-05,294.110725403,257.939605713,8.05,18.8581905365,4.0,0.0,0.0
2013-05-06,284.361385345,278.993408203,9.45,17.0599212646,3.1,0.0,0.0
2013-05-07,275.555988312,310.377716064,15.25,29.1468219757,4.2,0.0,0.0
2013-05-08,154.973579407,344.295013428,15.3,51.7274017334,4.9,0.0094,0.0
2013-05-09,114.909252167,355.27166748,14.45,48.4845199585,2.2,0.0155,0.0
2013-05-10,249.475341797,345.239379883,16.95,43.9034461975,3.0,0.0015,0.0
2013-05-11,89.4878177643,361.905700684,18.6,63.4141731262,5.4,0.0005,0.0
2013-05-12,174.236984253,350.499237061,16.7,50.1515541077,4.8,0.001,0.0
2013-05-13,273.183425903,270.251861572,11.7,21.3427906036,5.5,0.0,0.0
2013-05-14,213.568321228,291.893249512,11.15,22.5615234375,5.1,0.0,0.0
2013-05-15,206.218284607,295.295959473,13.05,29.9807682037,4.7,0.0,0.0
2013-05-16,292.982009888,312.053771973,19.75,32.1444969177,5.9,0.0,0.0
2013-05-17,281.235042572,298.827026367,16.65,33.4704322815,5.2,0.0,0.0
2013-05-18,235.01140976,310.534088135,15.0,36.019695282,4.6,0.0,0.0
2013-05-19,182.939956665,332.722808838,13.6,46.9615783691,3.6,0.0043,0.0
2013-05-20,227.750675201,363.40246582,20.55,61.135635376,2.9,0.001,0.0
2013-05-21,198.532600403,375.787200928,15.0,49.0740509033,4.3,0.0003,0.0
2013-05-22,158.956821442,367.663604736,13.1,62.1464118958,3.6,0.0013,0.0
2013-05-23,128.215772629,381.223815918,18.35,52.4032020569,4.6,0.0013,0.0
2013-05-24,98.9416027069,370.647674561,15.85,66.3463592529,4.4,0.0145,0.0
2013-05-25,111.3240242,333.863708496,8.9,32.6779060364,6.3,0.0086,0.0
2013-05-26,189.086154938,314.506134033,10.3,36.3521232605,7.1,0.0013,0.0
2013-05-27,311.835777283,277.754211426,15.55,27.0839920044,4.4,0.0,0.0
2013-05-28,263.076599121,298.468353271,14.2,26.8928813934,3.0,0.0,0.0
2013-05-29,114.507139206,365.494750977,17.5,65.5724716187,2.9,0.0213,0.0
2013-05-30,257.904758453,382.504638672,24.7,48.3727684021,4.8,0.0,0.0
2013-05-31,278.438117981,379.801300049,28.3,42.6875839233,4.9,0.0,0.0
2013-06-01,288.933952332,373.925201416,27.2,37.4210510254,6.0,0.0,0.0
2013-06-02,287.098777771,378.594268799,25.55,33.9066009521,7.0,0.0,0.0
2013-06-03,160.023300171,376.982543945,20.85,60.8027038574,4.5,0.018,0.0
2013-06-04,281.485561371,308.334381104,17.8,22.0245475769,5.4,0.0,0.0
2013-06-05,285.645378113,307.737915039,18.05,33.5530700684,3.9,0.0,0.0
2013-06-06,198.764530182,335.941345215,17.25,53.1790428162,4.1,0.0005,0.0
2013-06-07,53.8876037598,353.996856689,13.6,68.955368042,5.4,0.078,0.0
2013-06-08,219.845802307,365.665771484,19.45,57.5555038452,5.4,0.0137,0.0
2013-06-09,273.004878998,345.025085449,21.4,27.6087741852,4.0,0.0,0.0
2013-06-10,130.248264313,352.165344238,17.5,51.6596984863,3.7,0.0224,0.0
2013-06-11,113.889188766,373.758026123,15.55,65.5191497803,4.1,0.0351,0.0
2013-06-12,207.087112427,363.692443848,17.5,35.7609863281,5.2,0.0018,0.0
2013-06-13,91.116768837,340.426849365,15.55,47.0460281372,3.9,0.0183,0.0
2013-06-14,215.052280426,343.767669678,17.5,51.1716766357,5.0,0.0259,0.0
2013-06-15,312.876960754,320.586639404,21.7,21.7572727203,4.7,0.0,0.0
2013-06-16,171.17414856,342.346069336,20.55,39.6172027588,4.7,0.0,0.0
2013-06-17,250.305797577,364.760345459,23.9,38.4394302368,5.0,0.0109,0.0
2013-06-18,138.204669952,362.89364624,18.35,48.7872619629,3.1,0.016,0.0
2013-06-19,281.171230316,338.494171143,18.05,47.5648727417,4.5,0.0,0.0
2013-06-20,293.38861084,314.948547363,19.7,27.6218032837,4.1,0.0,0.0
2013-06-21,271.679039001,348.388763428,22.5,33.76537323,3.7,0.0,0.0
2013-06-22,252.791545868,367.381256104,23.85,51.8694801331,5.5,0.0,0.0
