Is this a test run?  False
Is this a full build?  True
5198 metadata files located
No previous metadata detected. Downloading metadata
Downloading began at  Fri May  6 13:35:37 2016
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2005/135/OMI-Aura_L2-OMMYDCLD_2005m0515t1802-o04434_v003-2014m1216t025406.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2005m0515t1802-o04434_v003-2014m1216t025406.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2007/078/OMI-Aura_L2-OMMYDCLD_2007m0319t1706-o14234_v003-2015m0102t122832.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2007m0319t1706-o14234_v003-2015m0102t122832.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2010/295/OMI-Aura_L2-OMMYDCLD_2010m1022t1737-o33355_v003-2015m0203t122319.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2010m1022t1737-o33355_v003-2015m0203t122319.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2013/286/OMI-Aura_L2-OMMYDCLD_2013m1013t2331-o49188_v003-2015m0227t082714.he5.xml [2530] -> "OMI-Aura_L2-OMMYDCLD_2013m1013t2331-o49188_v003-2015m0227t082714.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2005/249/OMI-Aura_L2-OMMYDCLD_2005m0906t1608-o06093_v003-2014m1217t201003.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2005m0906t1608-o06093_v003-2014m1217t201003.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003/2008/287/OMI-Aura_L2-OMMYDCLD_2008m1013t1710-o22593_v003-2015m0116t102343.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2008m1013t1710-o22593_v003-2015m0116t102343.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2011/199/OMI-Aura_L2-OMMYDCLD_2011m0718t1715-o37272_v003-2015m0208t154853.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2011m0718t1715-o37272_v003-2015m0208t154853.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2013/027/OMI-Aura_L2-OMMYDCLD_2013m0127t1800-o45413_v003-2015m0219t234938.he5.xml [2526] -> "OMI-Aura_L2-OMMYDCLD_2013m0127t1800-o45413_v003-2015m0219t234938.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2005/121/OMI-Aura_L2-OMMYDCLD_2005m0501t1749-o04230_v003-2014m1215t231703.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2005m0501t1749-o04230_v003-2014m1215t231703.he5.xml" [1]
2016-05-06 13:35:40 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2009/297/OMI-Aura_L2-OMMYDCLD_2009m1024t1758-o28069_v003-2015m0125t101800.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2009m1024t1758-o28069_v003-2015m0125t101800.he5.xml" [1]
