,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2013-04-11,12.00376336,12.030036912,11.8879683242,11.8479123923,11.8378945439,11.6805687424,11.5423630984,11.7085445171,12.2724837379,13.5718690415,15.2835815177,17.4564539372,23.3270862762,22.9735787051,6.05565823988,0.244940146135,0.00763803028195,6.66300065331e-05,1.05837288939e-06,8.67118428649e-08,3.90699874395e-07,4.63426332339e-07,4.48374564066e-07
2013-04-12,12.1700029702,12.4330633954,12.4444623043,12.3479463574,11.9624859526,11.9454626396,11.7399004711,11.882095235,12.4925084935,13.7837813864,15.5052087325,17.7069209682,23.5042743554,22.907583167,6.13100741902,0.253897469359,0.00809234496768,7.09837188581e-05,1.07796249775e-06,7.72941978726e-08,3.37121402767e-07,4.0023748786e-07,3.87326732443e-07
2013-04-13,12.745629003,12.7449403143,12.4468746081,12.5551388553,12.492921517,12.1331512806,11.9978844937,12.0533567044,12.9678759549,13.9880126849,15.7562886455,18.0694848045,23.5398840096,22.3007232025,6.73638426949,0.424573024126,0.0174636774298,0.000140581196817,1.87385271589e-06,8.07234710722e-08,2.88998596355e-07,3.45235145637e-07,3.34653060766e-07
2013-04-14,13.0720395703,13.0706171549,13.0699286571,13.0677376793,13.0415184934,12.5957508892,12.2600785209,12.3026841681,13.1821836138,14.4505860659,15.6800497356,18.1921329677,23.6308038592,22.3754770154,6.69044692877,0.394308305086,0.0161742673117,0.000140608180678,1.91418393225e-06,7.52398804475e-08,2.48849419872e-07,2.97992722122e-07,2.89091486016e-07
2013-04-15,13.626981271,13.6199614054,13.3244919972,13.251190567,13.2455493795,13.0607869518,12.5166941874,12.5140239372,13.4545618042,14.6184448432,15.7898465001,18.3603677527,23.7926946081,22.4597443021,6.62299708586,0.36131542731,0.0144634747247,0.000133701290713,1.82644766002e-06,6.76194845455e-08,2.14743056887e-07,2.57351718759e-07,2.49722886013e-07
2013-04-16,13.9330563591,13.9337011536,14.057014994,14.0480648256,13.7525569359,13.4459278756,13.1540985851,12.7618777807,13.3139227255,14.4221328445,16.0498324772,18.642012125,23.8199515324,22.3046605778,6.79268831481,0.409956248055,0.0188630731727,0.000190543839967,2.62186250443e-06,7.3834903106e-08,1.84390026122e-07,2.22063962435e-07,2.15715517913e-07
2013-04-17,14.247667045,14.4853713441,14.4875032054,14.4944336363,14.4861742661,13.7517929367,13.4121711117,12.9203433426,13.3061172012,14.6173568576,16.2661841435,18.8737365691,23.9478903048,22.2458390138,6.85961103436,0.426054801061,0.0201507651584,0.000213635815416,2.94742683651e-06,7.27253278082e-08,1.58927047108e-07,1.91745157361e-07,1.8633928703e-07
2013-04-18,14.7666326894,14.8291828426,14.8237949398,14.7272593975,14.71986088,14.6373843958,13.8751742196,13.3021626908,13.5727195134,14.8170269389,16.5436948247,19.1850870005,23.8697920077,21.8751781329,7.2416624087,0.572611909566,0.0331117724762,0.000396333914149,5.67527099274e-06,1.0557092564e-07,1.36127810808e-07,1.65357681701e-07,1.60963523163e-07
2013-04-19,15.0784027921,15.3815293039,15.3585124489,15.3240692267,15.0248626239,14.9393966045,14.3713863077,13.55728111,13.7959613056,15.0081468065,16.7573372594,19.4138685783,23.9703320644,21.7761992974,7.3556079586,0.61050370293,0.0359384143608,0.000445149222288,6.46785904413e-06,1.11165310342e-07,1.17359288892e-07,1.42780237221e-07,1.39043441179e-07
2013-04-20,15.748044234,15.7478843504,15.6869632751,15.629152626,15.4475407526,15.2012136402,14.5273744281,13.9046954019,13.9735511704,15.2077091051,17.0111435307,19.6942969861,23.9024533598,21.3020662606,7.81058364322,0.854999330079,0.0590803748377,0.000780305810065,1.1498120567e-05,1.7170967007e-07,1.00801594131e-07,1.23174311538e-07,1.20108445008e-07
2013-04-21,16.2315487436,16.2312833104,16.2116307458,15.9955627878,15.8861617703,15.5368730775,15.012339379,14.3964762733,14.304238153,15.4145561931,17.2617953157,19.9513594829,23.8170904728,21.0272347536,8.1094469036,1.02750524691,0.084053573008,0.00128698086931,2.03971405943e-05,2.9566708961e-07,8.66516998832e-08,1.06233475168e-07,1.03752024339e-07
2013-04-22,16.6949653213,16.6940840688,16.6938065424,16.68838215,16.4221303537,16.0710608825,15.4287132519,14.7243903608,14.5963195204,15.637623406,17.5170110052,20.1888926194,23.6813900891,20.7857456087,8.39013710187,1.20117781599,0.115527471315,0.002168608884,3.92000158429e-05,6.0042851585e-07,7.48044041517e-08,9.15754813626e-08,8.96230276811e-08
2013-04-23,17.1458655472,17.1420372286,17.1418165067,17.1416635342,17.0960269365,16.5969864424,16.0282488682,15.1740873118,14.7986772902,15.8191937444,17.7022333137,20.377592548,23.8375035306,20.8616331545,8.37318377772,1.15229609869,0.106156590044,0.00200505507326,3.73798999663e-05,5.79856407218e-07,6.46819444164e-08,7.9093450109e-08,7.74181237227e-08
2013-04-24,17.5864875357,17.5862895364,17.5862608143,17.5860669016,17.4796339438,17.062196689,16.4544202786,15.4760838523,15.0766536078,16.0355737543,17.9043068486,20.5472600865,23.8611049345,20.8782945543,8.41094775181,1.14749417123,0.107201255094,0.0021867875139,4.47642480553e-05,7.53891486381e-07,5.61963773416e-08,6.82383679322e-08,6.6875288808e-08
2013-04-25,17.9981827615,17.9967683845,17.9962573731,17.9949358873,17.9879334089,17.5822109097,16.6953685081,15.6285587738,15.5027986539,16.3041765838,17.892986207,20.6513751147,23.9602852129,20.951834602,8.38061229494,1.09626122845,0.0989006957089,0.0020617123761,4.44035610696e-05,7.91128232113e-07,4.89058662544e-08,5.88933231576e-08,5.77681816288e-08
2013-04-26,18.4185033911,18.3978184456,18.4116933936,18.4224911319,18.3806155233,17.9330930931,17.2364727961,16.1448695033,15.8556035285,16.5440848265,17.9555985442,20.7610218856,24.071215405,21.0229450518,8.33931388992,1.04338162158,0.0905582763439,0.00191310295871,4.27312601136e-05,7.89417933731e-07,4.25138913336e-08,5.08731741975e-08,4.99012842427e-08
2013-04-27,18.9389571893,18.6643999808,18.6613863629,18.7872024565,18.8434650249,18.6180243032,17.6700449611,16.5773446374,16.0716424414,16.7326158343,18.1703417142,20.9443863654,24.1420573115,20.9281229295,8.42714338017,1.10545483159,0.0954607996904,0.00201678696782,4.59638479776e-05,8.4852460541e-07,3.70023133472e-08,4.39452159258e-08,4.31057043909e-08
2013-04-28,19.2755869161,18.9581483977,19.122412671,19.1286391525,19.2735140105,19.0447965386,18.014247387,16.7727725849,16.2627982269,16.9134038772,18.3602151523,21.1250905701,24.2696824614,20.9322912642,8.42434738681,1.09268241182,0.0911842298092,0.0019113718912,4.41114771178e-05,8.13522161106e-07,3.20943586054e-08,3.79607131242e-08,3.72355496243e-08
2013-04-29,19.5713837231,19.261436068,19.4609838126,19.5760614249,19.6448702599,19.5456931537,18.4402844495,17.0211906388,16.45662993,17.0927826827,18.5475244519,21.3046719184,24.3989356467,20.9395171881,8.41069136656,1.07400320347,0.0863985030984,0.00179285267374,4.17655414607e-05,7.69177212812e-07,2.7829515212e-08,3.27911853472e-08,3.21647951702e-08
2013-04-30,19.7950124058,19.4800545946,19.663125151,19.9873008218,20.0889132252,19.9298016326,18.7717202571,17.264212678,16.6492143429,17.2717622268,18.7348072827,21.4833426392,24.5231738998,20.9363734789,8.39606853341,1.05979522729,0.082433886652,0.001690416554,3.96919029897e-05,7.30680374168e-07,2.4148999936e-08,2.83256486091e-08,2.77845783445e-08
2013-05-01,20.0394046695,19.7015166703,20.0071029147,20.3397958348,20.5246397049,20.3521583853,19.0916974924,17.5029575769,16.8413388493,17.4508016828,18.9227237725,21.6611090013,24.6406428062,20.9239346367,8.38243165013,1.04884016047,0.0790169627858,0.00159705440696,3.77041895963e-05,6.94196278567e-07,2.09684742791e-08,2.44682328002e-08,2.40008614281e-08
2013-05-02,20.1530928294,19.8388812192,20.2027991439,20.6154569845,20.9272996013,20.7694877807,19.401151705,17.7357091535,17.0306875857,17.628722211,19.1078403939,21.8377556494,24.7623802092,20.9204066855,8.35144283882,1.02756807809,0.0748210811109,0.00149358441962,3.54692226873e-05,6.55038132895e-07,1.82171324322e-08,2.11361234878e-08,2.07324128003e-08
2013-05-03,20.2263794487,20.0406525609,20.4677172903,21.1063064317,21.3707081844,21.3079286899,19.7004196381,17.9616570283,17.2163105454,17.80500885,19.2889141893,22.0132970694,24.8932639004,20.9310846781,8.2957839709,0.991281178659,0.0694435810533,0.00137414436425,3.27479575168e-05,6.05742526245e-07,1.58123803727e-08,1.82577839854e-08,1.7909062999e-08
2013-05-04,20.2304598239,20.0843709181,20.6805635134,21.3116691785,21.7542907181,21.7191550596,19.989904209,18.1825726551,17.3998591224,17.9805245627,19.468060068,22.1880035794,25.0267625659,20.940815604,8.22698889775,0.951261921872,0.0640642932584,0.00125726595678,2.99130162259e-05,5.51544625621e-07,1.37060756995e-08,1.57714195397e-08,1.54701982715e-08
2013-05-05,20.260155148,20.3326306977,21.0118231087,21.5564549333,22.2000200546,22.1175986525,20.2706076816,18.400589636,17.5831217416,18.1562158154,19.647318247,22.3618746161,25.1567316829,20.9428878654,8.15243581143,0.912889993144,0.0592334692579,0.00115287344607,2.73158947771e-05,5.01684423212e-07,1.18812197789e-08,1.3623650647e-08,1.33634592702e-08
2013-05-06,20.3574619701,20.5176613932,21.310761147,22.0330645718,22.644589042,22.5023063571,20.5432722087,18.6153861637,17.7655547369,18.3317932979,19.8258507078,22.5349290897,25.2860105812,20.9401339536,8.0684629396,0.873651384997,0.0546543595552,0.0010557992014,2.48315468529e-05,4.53340524871e-07,1.0293448029e-08,1.17683670599e-08,1.15436169649e-08
2013-05-07,20.6439234707,19.8855392339,21.3201961255,22.3358970068,23.0864700387,22.8723866241,20.8082220814,18.8258944222,17.9460353216,18.5066554165,20.0022011759,22.7071786599,25.4201772145,20.9433410426,7.96473170504,0.824947907029,0.049615929485,0.000957075842217,2.22922467019e-05,4.04131125078e-07,8.90852188731e-09,1.01657378639e-08,9.9716016345e-09
2013-05-08,20.9071896626,19.8722428287,20.8137681578,22.8887253449,23.5235080633,23.2264796097,21.0668263325,19.0342258131,18.1262488589,18.681686824,20.1782895249,22.878701467,25.5522982002,20.9391754848,7.85296640319,0.777092417527,0.0449502734192,0.000867394825747,1.996720153e-05,3.59540422085e-07,7.71018345521e-09,8.78135634941e-09,8.61366408931e-09
2013-05-09,20.890906427,20.3763604312,21.3138557802,23.0970655801,23.8300081249,23.5595717744,21.3217561232,19.2450782601,18.3100892433,18.8589315586,20.3582737522,23.0491631776,25.6669766147,20.9049984638,7.75834093973,0.747341564184,0.0419068402134,0.000801538769119,1.82125649161e-05,3.26321463639e-07,6.68706580808e-09,7.58550133462e-09,7.44065111785e-09
